Balloon filename (gpx),station,expected timeframe
SMT_20220821_111511.gpx,24,2022-08-21 12:30:03+00:00 till 2022-08-21 12:56:06+00:00
SMT_20220906_231459.gpx,23,2022-09-06 23:18:47+00:00 till 2022-09-06 23:19:11+00:00
SMT_20220906_231459.gpx,24,2022-09-06 23:19:56+00:00 till 2022-09-06 23:20:17+00:00
SMT_20220813_112235.gpx,21,2022-08-13 11:12:14+00:00 till 2022-08-13 11:12:14+00:00
SMT_20220714_231645.gpx,12,2022-07-14 23:30:29+00:00 till 2022-07-15 00:20:29+00:00
SMT_20220714_231645.gpx,11,2022-07-14 23:27:00+00:00 till 2022-07-15 00:23:56+00:00
SMT_20220714_231645.gpx,13,2022-07-14 23:36:24+00:00 till 2022-07-14 23:52:56+00:00
SMT_20220723_231622.gpx,21,2022-07-23 23:19:58+00:00 till 2022-07-24 00:42:47+00:00
SMT_20220723_231622.gpx,12,2022-07-23 23:34:01+00:00 till 2022-07-23 23:34:10+00:00
SMT_20220723_231622.gpx,13,2022-07-23 23:34:27+00:00 till 2022-07-23 23:36:43+00:00
SMT_20220723_231622.gpx,22,2022-07-23 23:29:17+00:00 till 2022-07-24 00:42:47+00:00
SMT_20220723_231622.gpx,23,2022-07-23 23:32:07+00:00 till 2022-07-24 00:42:47+00:00
SMT_20220723_231622.gpx,24,2022-07-23 23:35:20+00:00 till 2022-07-24 00:42:46+00:00
SMT_20220701_231934.gpx,21,2022-07-01 23:08:19+00:00 till 2022-07-01 23:31:27+00:00
SMT_20220701_231934.gpx,12,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT_20220701_231934.gpx,13,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT_20220701_231934.gpx,22,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT_20220701_231934.gpx,23,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00
SMT_20220830_231921.gpx,12,2022-08-30 23:22:12+00:00 till 2022-08-30 23:22:37+00:00
SMT_20220809_112529.gpx,11,2022-08-09 11:29:09+00:00 till 2022-08-09 11:30:50+00:00
SMT_20220706_231615.gpx,21,2022-07-07 00:28:56+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,12,2022-07-07 00:31:57+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,11,2022-07-07 00:32:55+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,13,2022-07-07 00:31:22+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,22,2022-07-07 00:27:35+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,23,2022-07-07 00:26:30+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220706_231615.gpx,24,2022-07-07 00:27:18+00:00 till 2022-07-07 00:35:15+00:00
SMT_20220728_112143.gpx,12,2022-07-28 11:35:20+00:00 till 2022-07-28 11:38:50+00:00
SMT_20220728_112143.gpx,11,2022-07-28 11:30:52+00:00 till 2022-07-28 11:37:10+00:00
SMT_20220728_112143.gpx,13,2022-07-28 11:37:18+00:00 till 2022-07-28 11:40:28+00:00
SMT_20220716_111633.gpx,21,2022-07-16 12:03:00+00:00 till 2022-07-16 12:28:16+00:00
SMT_20220716_111633.gpx,12,2022-07-16 12:06:28+00:00 till 2022-07-16 12:32:14+00:00
SMT_20220716_111633.gpx,11,2022-07-16 12:04:52+00:00 till 2022-07-16 12:32:53+00:00
SMT_20220716_111633.gpx,13,2022-07-16 12:10:07+00:00 till 2022-07-16 12:29:33+00:00
SMT_20220716_111633.gpx,22,2022-07-16 12:04:25+00:00 till 2022-07-16 12:26:57+00:00
SMT_20220716_111633.gpx,23,2022-07-16 12:07:47+00:00 till 2022-07-16 12:24:06+00:00
SMT_20220715_231621.gpx,21,2022-07-15 23:36:30+00:00 till 2022-07-16 00:28:03+00:00
SMT_20220715_231621.gpx,12,2022-07-16 00:10:47+00:00 till 2022-07-16 00:24:58+00:00
SMT_20220715_231621.gpx,11,2022-07-16 00:06:24+00:00 till 2022-07-16 00:29:42+00:00
SMT_20220715_231621.gpx,22,2022-07-16 00:08:46+00:00 till 2022-07-16 00:13:10+00:00
SMT_20220726_111605.gpx,21,2022-07-26 11:18:08+00:00 till 2022-07-26 12:21:55+00:00
SMT_20220726_111605.gpx,12,2022-07-26 12:05:32+00:00 till 2022-07-26 12:39:38+00:00
SMT_20220726_111605.gpx,11,2022-07-26 12:18:31+00:00 till 2022-07-26 12:33:08+00:00
SMT_20220726_111605.gpx,13,2022-07-26 11:27:13+00:00 till 2022-07-26 12:41:52+00:00
SMT_20220726_111605.gpx,22,2022-07-26 11:21:09+00:00 till 2022-07-26 12:32:09+00:00
SMT_20220726_111605.gpx,23,2022-07-26 11:25:15+00:00 till 2022-07-26 12:36:31+00:00
SMT_20220726_111605.gpx,24,2022-07-26 11:28:57+00:00 till 2022-07-26 12:37:06+00:00
SMT_20220726_231510.gpx,21,2022-07-26 23:21:05+00:00 till 2022-07-26 23:24:52+00:00
SMT_20220726_231510.gpx,11,2022-07-26 23:29:04+00:00 till 2022-07-27 00:26:29+00:00
SMT_20220724_111936.gpx,12,2022-07-24 12:16:11+00:00 till 2022-07-24 12:38:59+00:00
SMT_20220724_111936.gpx,11,2022-07-24 11:24:16+00:00 till 2022-07-24 12:38:52+00:00
SMT_20220724_111936.gpx,13,2022-07-24 12:10:28+00:00 till 2022-07-24 12:38:59+00:00
SMT_20220724_111936.gpx,22,2022-07-24 12:23:01+00:00 till 2022-07-24 12:35:57+00:00
SMT_20220724_111936.gpx,23,2022-07-24 12:11:38+00:00 till 2022-07-24 12:38:59+00:00
SMT_20220724_111936.gpx,24,2022-07-24 12:03:33+00:00 till 2022-07-24 12:38:59+00:00
SMT_20220820_231751.gpx,12,2022-08-20 23:40:20+00:00 till 2022-08-20 23:43:35+00:00
SMT_20220820_231751.gpx,13,2022-08-20 23:40:21+00:00 till 2022-08-21 00:20:34+00:00
SMT_20220820_231751.gpx,22,2022-08-20 23:38:28+00:00 till 2022-08-20 23:42:26+00:00
SMT_20220820_231751.gpx,23,2022-08-20 23:39:02+00:00 till 2022-08-20 23:44:03+00:00
SMT_20220820_231751.gpx,24,2022-08-20 23:40:44+00:00 till 2022-08-21 00:20:37+00:00
SMT_20220703_231627.gpx,21,2022-07-03 23:55:21+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220703_231627.gpx,12,2022-07-04 00:09:48+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220703_231627.gpx,11,2022-07-03 23:58:35+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220703_231627.gpx,13,2022-07-04 00:14:59+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220703_231627.gpx,22,2022-07-03 23:58:41+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220703_231627.gpx,23,2022-07-04 00:08:59+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220703_231627.gpx,24,2022-07-04 00:15:07+00:00 till 2022-07-04 00:52:09+00:00
SMT_20220816_111548.gpx,11,2022-08-16 11:18:47+00:00 till 2022-08-16 11:20:45+00:00
SMT_20220704_231605.gpx,21,2022-07-04 23:19:32+00:00 till 2022-07-05 00:46:21+00:00
SMT_20220704_231605.gpx,12,2022-07-05 00:42:58+00:00 till 2022-07-05 00:46:21+00:00
SMT_20220704_231605.gpx,11,2022-07-05 00:44:26+00:00 till 2022-07-05 00:46:21+00:00
SMT_20220704_231605.gpx,13,2022-07-05 00:41:01+00:00 till 2022-07-05 00:46:21+00:00
SMT_20220704_231605.gpx,22,2022-07-04 23:28:38+00:00 till 2022-07-05 00:46:21+00:00
SMT_20220704_231605.gpx,23,2022-07-05 00:37:02+00:00 till 2022-07-05 00:46:21+00:00
