Balloon filename (gpx),station,expected timeframe
SMT_20220830_231921.gpx,12.00,2022-08-30 23:22:20+00:00 till 2022-08-30 23:22:25+00:00,x
SMT_20220701_231934.gpx,22.00,2022-07-01 23:08:19+00:00 till 2022-07-01 23:08:19+00:00,x
SMT_20220702_231622.gpx,12.00,2022-07-03 00:33:14+00:00 till 2022-07-03 00:42:28+00:00,x
SMT_20220702_231622.gpx,13.00,2022-07-03 00:30:31+00:00 till 2022-07-03 00:47:03+00:00,x
SMT_20220702_231622.gpx,22.00,2022-07-03 00:29:24+00:00 till 2022-07-03 00:35:52+00:00,x
SMT_20220702_231622.gpx,23.00,2022-07-03 00:22:46+00:00 till 2022-07-03 00:41:34+00:00,x
SMT_20220702_231622.gpx,24.00,2022-07-03 00:24:41+00:00 till 2022-07-03 00:41:23+00:00,x
SMT_20220921_111527.gpx,12.00,2022-09-21 11:27:55+00:00 till 2022-09-21 11:28:43+00:00,x
SMT_20220921_111527.gpx,13.00,2022-09-21 11:29:50+00:00 till 2022-09-21 11:30:16+00:00,x
SMT_20220628_231514.gpx,12.00,2022-06-28 23:19:47+00:00 till 2022-06-28 23:20:19+00:00,x
SMT_20220615_231713.gpx,12.00,2022-06-15 23:21:44+00:00 till 2022-06-15 23:22:24+00:00,x
SMT_20220617_231459.gpx,22.00,2022-06-17 23:17:41+00:00 till 2022-06-17 23:17:51+00:00,x
SMT_20220803_232212.gpx,22.00,2022-08-03 23:26:37+00:00 till 2022-08-03 23:27:17+00:00,x
SMT_20220803_232212.gpx,23.00,2022-08-03 23:30:39+00:00 till 2022-08-03 23:32:56+00:00,x
SMT_20220803_232212.gpx,24.00,2022-08-03 23:35:22+00:00 till 2022-08-03 23:36:46+00:00,x
SMT_20220716_111633.gpx,21.00,2022-07-16 12:09:33+00:00 till 2022-07-16 12:15:00+00:00,x
SMT_20220716_111633.gpx,11.00,2022-07-16 12:12:21+00:00 till 2022-07-16 12:19:07+00:00,x
SMT_20220929_111540.gpx,12.00,2022-09-29 11:20:06+00:00 till 2022-09-29 11:20:31+00:00,x
SMT_20220820_231751.gpx,13.00,2022-08-20 23:41:47+00:00 till 2022-08-20 23:43:16+00:00,x
SMT_20220820_231751.gpx,23.00,2022-08-20 23:40:36+00:00 till 2022-08-20 23:41:38+00:00
SMT_20220907_112500.gpx,23.00,2022-09-07 11:28:47+00:00 till 2022-09-07 11:28:49+00:00
SMT_20220728_112143.gpx,12.00,2022-07-28 11:36:42+00:00 till 2022-07-28 11:37:44+00:00
SMT_20220728_112143.gpx,11.00,2022-07-28 11:34:00+00:00 till 2022-07-28 11:35:37+00:00
SMT_20220728_112143.gpx,13.00,2022-07-28 11:38:18+00:00 till 2022-07-28 11:39:13+00:00
SMT_20220723_231622.gpx,21.00,2022-07-23 23:25:19+00:00 till 2022-07-23 23:27:24+00:00
SMT_20220723_231622.gpx,22.00,2022-07-23 23:31:22+00:00 till 2022-07-23 23:33:50+00:00
SMT_20220723_231622.gpx,23.00,2022-07-23 23:34:49+00:00 till 2022-07-23 23:36:50+00:00
SMT_20220828_111632.gpx,22.00,2022-08-28 11:21:38+00:00 till 2022-08-28 11:22:36+00:00
SMT_20220930_231507.gpx,13.00,2022-09-30 23:19:22+00:00 till 2022-09-30 23:19:23+00:00
SMT_20220904_111459.gpx,21.00,2022-09-04 11:17:00+00:00 till 2022-09-04 11:17:49+00:00
SMT_20220904_111459.gpx,22.00,2022-09-04 11:21:12+00:00 till 2022-09-04 11:21:29+00:00
SMT_20220726_111605.gpx,21.00,2022-07-26 11:18:31+00:00 till 2022-07-26 11:18:47+00:00
